timestamp,live_temp,humidity,wind,pressure,erm_flux,beta,next_predicted_1h,next_predicted_3h,next_predicted_6h,next_predicted_12h,next_predicted_24h,next_predicted_48h,tomorrow_max,tomorrow_min,improvement_pct
2026-03-31T19:10:32.845303,26.6,61,21.6,1020.7,0.0,0.01,26.6,26.6,26.6,26.6,26.6,26.6,26.9,21.2,0.0
2026-03-31T19:14:21.223297,26.6,61,21.6,1020.7,0.0,0.01,26.6,26.6,26.6,26.6,26.6,26.6,26.9,21.2,0.0
2026-03-31T19:26:34.081266,26.7,61,22.4,1020.5,0.0,0.01,26.7,26.7,26.7,26.7,26.7,26.7,26.9,21.2,0.0
2026-03-31T19:27:38.253307,26.4,61,22.4,1020.5,0.0,0.01,26.4,26.4,26.4,26.4,26.4,26.4,26.9,21.2,0.0
2026-03-31T19:37:13.936616,26.2,62,21.8,1020.3,0.0,0.01,26.2,26.2,26.2,26.2,26.2,26.2,26.9,21.2,0.0
2026-03-31T19:42:00.843545,26.2,62,21.8,1020.3,0.0,0.01,26.2,26.2,26.2,26.2,26.2,26.2,26.9,21.2,0.0
2026-03-31T19:43:07.399866,26.2,62,21.8,1020.3,0.0,0.01,26.2,26.2,26.2,26.2,26.2,26.2,26.9,21.2,0.0
2026-03-31T19:53:13.812744,26.3,63,21.5,1020.2,0.0,0.01,26.3,26.3,26.3,26.3,26.3,26.3,26.9,21.2,0.0
2026-03-31T20:00:25.360068,26.2,63,20.9,1020.1,0.0,0.01,26.2,26.2,26.2,26.2,26.2,26.2,26.9,21.2,0.0
