timestamp,live_temp,humidity,wind,pressure,erm_flux,beta,next_predicted_1h,next_predicted_3h,next_predicted_6h,next_predicted_12h,next_predicted_24h,next_predicted_48h,tomorrow_max,tomorrow_min,improvement_pct
2026-03-31T19:10:43.292459,27.2,42,23.3,1010.9,0.0,0.01,27.2,27.2,27.2,27.2,27.2,27.2,25.6,11.6,0.0
2026-03-31T19:14:31.674015,27.2,42,23.3,1010.9,0.0,0.01,27.2,27.2,27.2,27.2,27.2,27.2,25.6,11.6,0.0
2026-03-31T19:26:44.530588,27.1,42,22.2,1010.7,0.0,0.01,27.1,27.1,27.1,27.1,27.1,27.1,25.6,11.6,0.0
2026-03-31T19:27:48.783334,26.7,42,22.2,1010.7,0.0,0.01,26.7,26.7,26.7,26.7,26.7,26.7,25.6,11.6,0.0
2026-03-31T19:37:24.390828,26.8,42,23.3,1010.3,0.0,0.01,26.8,26.8,26.8,26.8,26.8,26.8,25.6,11.6,0.0
2026-03-31T19:42:11.304962,26.8,42,23.3,1010.3,0.0,0.01,26.8,26.8,26.8,26.8,26.8,26.8,25.6,11.6,0.0
